Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, female",SP.POP.TOTL.FE.IN,China,CHN,653422748,656677290,660023537,663493378,667009225,670780903,674707818,677972245,680596325,682951049
"Population, female",SP.POP.TOTL.FE.IN,Colombia,COL,23288625,23500706,23715462,23954672,24231886,24556894,24919763,25290276,25626250,25898320
"Population, female",SP.POP.TOTL.FE.IN,Comoros,COM,350390,358914,367616,376437,385346,394323,403368,412488,421681,430942
"Population, female",SP.POP.TOTL.FE.IN,"Congo, Dem. Rep.",COD,33510549,34635680,35796890,36993480,38224572,39489787,40787891,42116217,43471465,44851232
"Population, female",SP.POP.TOTL.FE.IN,"Congo, Rep.",COG,2206804,2263417,2318674,2374824,2433522,2495201,2559385,2625622,2693146,2761414
"Population, female",SP.POP.TOTL.FE.IN,Costa Rica,CRI,2312869,2340768,2368302,2395474,2422275,2448697,2474720,2500214,2525022,2549038
"Population, female",SP.POP.TOTL.FE.IN,Cote d'Ivoire,CIV,10360527,10625267,10900328,11185031,11478829,11781686,12093608,12414060,12742348,13077895
"Population, female",SP.POP.TOTL.FE.IN,Croatia,HRV,2219546,2213678,2208465,2200161,2182274,2166691,2139934,2119654,2106578,2095905
"Population, female",SP.POP.TOTL.FE.IN,Cuba,CUB,5649261,5660661,5674335,5687218,5697027,5703178,5706299,5706812,5705556,5703148
"Population, female",SP.POP.TOTL.FE.IN,Curacao,CUW,81662,82412,83375,84504,85606,86480,86707,86194,85105,83724
"Population, female",SP.POP.TOTL.FE.IN,Cyprus,CYP,563479,568305,572061,575624,579592,584159,589134,594287,599277,603847
"Population, female",SP.POP.TOTL.FE.IN,Czech Republic,CZE,5340831,5346869,5348559,5354302,5364266,5373114,5385332,5400916,5419777,5431340
"Population, female",SP.POP.TOTL.FE.IN,Denmark,DNK,2805142,2814288,2824671,2837901,2857267,2879322,2897965,2912704,2923597,2932556
"Population, female",SP.POP.TOTL.FE.IN,Djibouti,DJI,397940,404927,413398,422312,430881,438940,446703,454211,461610,469009
"Population, female",SP.POP.TOTL.FE.IN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Dominican Republic,DOM,4890693,4951906,5012859,5073656,5134308,5194798,5254937,5314402,5372759,5429698
"Population, female",SP.POP.TOTL.FE.IN,Early-demographic dividend,EAR,1446916732,1468227133,1489472543,1510638086,1531698598,1552614909,1573372957,1594049611,1614705840,1635356268
"Population, female",SP.POP.TOTL.FE.IN,East Asia & Pacific,EAS,1093951301,1101537841,1109231406,1117065833,1124879040,1132819197,1140756183,1147959724,1154401191,1160314757
"Population, female",SP.POP.TOTL.FE.IN,East Asia & Pacific (excluding high income),EAP,971720128,978871146,986175302,993585975,1000966947,1008509747,1016125490,1023003931,1029184619,1035050503
"Population, female",SP.POP.TOTL.FE.IN,East Asia & Pacific (IDA & IBRD),TEA,959104149,966192156,973432453,980779359,988097365,995577927,1003131942,1009949653,1016071223,1021880067
"Population, female",SP.POP.TOTL.FE.IN,Ecuador,ECU,7608327,7724581,7842413,7965751,8097063,8237882,8386318,8537161,8683170,8819233
"Population, female",SP.POP.TOTL.FE.IN,"Egypt, Arab Rep.",EGY,41822894,42753933,43730649,44727504,45724871,46717301,47706815,48690128,49665477,50631541
"Population, female",SP.POP.TOTL.FE.IN,El Salvador,SLV,3275742,3294183,3312806,3331687,3350892,3370447,3390314,3410312,3430197,3449777
"Population, female",SP.POP.TOTL.FE.IN,Equatorial Guinea,GNQ,447795,465874,484414,503346,522589,542111,561894,581912,602159,622605
"Population, female",SP.POP.TOTL.FE.IN,Eritrea,ERI,1607405,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Estonia,EST,708917,706072,703157,700674,700146,698980,698154,698776,699682,700461
"Population, female",SP.POP.TOTL.FE.IN,Eswatini,SWZ,565141,566906,568304,569814,571808,574397,577530,581192,585343,589928
"Population, female",SP.POP.TOTL.FE.IN,Ethiopia,ETH,45150001,46426769,47737068,49072577,50426864,51797604,53185201,54589146,56009719,57446748
"Population, female",SP.POP.TOTL.FE.IN,Euro area,EMU,171743939,172120855,172699612,173270760,173749423,174187217,174474165,174763955,174819588,175074665
"Population, female",SP.POP.TOTL.FE.IN,Europe & Central Asia,ECS,458717121,460487279,462570754,464674292,466742892,468729369,470448961,472000553,473207004,474410940
"Population, female",SP.POP.TOTL.FE.IN,Europe & Central Asia (excluding high income),ECA,208298683,209419231,210654534,211882291,213141073,214348719,215459838,216430250,217304511,218012739
"Population, female",SP.POP.TOTL.FE.IN,Europe & Central Asia (IDA & IBRD),TEC,230172363,231277097,232483508,233677579,234898061,236078526,237165686,238118561,238978369,239671076
"Population, female",SP.POP.TOTL.FE.IN,European Union,EUU,225875226,226182177,226699908,227220503,227650560,228051160,228313071,228584066,228627883,228845087
"Population, female",SP.POP.TOTL.FE.IN,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Fiji,FJI,422919,424107,424843,425740,427260,429493,432310,435565,438996,442426
"Population, female",SP.POP.TOTL.FE.IN,Finland,FIN,2742371,2753865,2764999,2774944,2782702,2789446,2794857,2797516,2799598,2803244
"Population, female",SP.POP.TOTL.FE.IN,Fragile and conflict affected situations,FCS,376474425,385816796,395300093,404845280,414405979,423939238,433481218,443194766,453270846,463846503
"Population, female",SP.POP.TOTL.FE.IN,France,FRA,33686256,33845372,34017119,34178119,34302345,34399175,34508584,34614021,34698686,34777344
"Population, female",SP.POP.TOTL.FE.IN,French Polynesia,PYF,130837,131705,132631,133562,134452,135302,136140,136961,137793,138643
"Population, female",SP.POP.TOTL.FE.IN,Gabon,GAB,830699,861328,893274,925129,955859,985073,1012977,1039899,1066386,1092874
"Population, female",SP.POP.TOTL.FE.IN,"Gambia, The",GMB,931060,959817,989462,1019942,1051160,1083106,1115804,1149215,1183332,1218124
"Population, female",SP.POP.TOTL.FE.IN,Georgia,GEO,1966089,1950656,1943649,1943635,1946270,1947584,1948480,1948659,1946307,1943920
"Population, female",SP.POP.TOTL.FE.IN,Germany,DEU,40903005,40956600,41043963,41187119,41511610,41808130,41919970,42000374,42053302,42093236
"Population, female",SP.POP.TOTL.FE.IN,Ghana,GHA,12543077,12840075,13138221,13439246,13744367,14053716,14366665,14682873,15001772,15322946
"Population, female",SP.POP.TOTL.FE.IN,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Greece,GRC,5653410,5624374,5583564,5545785,5508921,5486068,5475485,5464776,5459276,5456162
"Population, female",SP.POP.TOTL.FE.IN,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Grenada,GRD,52821,53164,53548,53939,54314,54665,54983,55287,55576,55853
"Population, female",SP.POP.TOTL.FE.IN,Guam,GUM,78597,78815,79087,79451,79934,80538,81252,82047,82858,83643
"Population, female",SP.POP.TOTL.FE.IN,Guatemala,GTM,7386480,7516771,7647888,7779044,7909392,8039125,8168449,8297605,8425530,8552130
"Population, female",SP.POP.TOTL.FE.IN,Guinea,GIN,5450929,5568785,5690062,5818608,5957128,6106627,6266010,6433224,6605171,6779558
"Population, female",SP.POP.TOTL.FE.IN,Guinea-Bissau,GNB,804636,825548,847112,869094,891313,913702,936281,959059,982054,1005303
"Population, female",SP.POP.TOTL.FE.IN,Guyana,GUY,378715,379930,381144,382395,383716,385101,386540,388008,389504,391010
"Population, female",SP.POP.TOTL.FE.IN,Haiti,HTI,5117317,5192578,5267506,5342001,5415970,5489355,5562083,5634138,5705483,5776088
"Population, female",SP.POP.TOTL.FE.IN,Heavily indebted poor countries (HIPC),HPC,322458787,331541196,340876212,350457783,360278753,370341386,380639799,391147790,401831117,412664816
"Population, female",SP.POP.TOTL.FE.IN,High income,HIC,583625458,586824901,590104786,593472488,596705596,599874103,602606966,605123010,607263564,609111672
"Population, female",SP.POP.TOTL.FE.IN,Honduras,HND,4249670,4329000,4407287,4485195,4563218,4641497,4719923,4798492,4877121,4955728
"Population, female",SP.POP.TOTL.FE.IN,"Hong Kong SAR, China",HKG,3756506,3808024,3832276,3867733,3909083,3941508,3978989,4018506,4056162,4049102
"Population, female",SP.POP.TOTL.FE.IN,Hungary,HUN,5239155,5210802,5194900,5179290,5165373,5148625,5133501,5125566,5121750,5108915
"Population, female",SP.POP.TOTL.FE.IN,IBRD only,IBD,2204201055,2226225817,2248474632,2270669428,2292651787,2314559563,2336246389,2356822917,2376315802,2395094423
"Population, female",SP.POP.TOTL.FE.IN,Iceland,ISL,158355,159343,161042,163018,164840,167175,171121,175696,179525,182375
"Population, female",SP.POP.TOTL.FE.IN,IDA & IBRD total,IBT,2899999805,2937896363,2976277308,3014947378,3053802057,3092977708,3132300847,3170906441,3208832429,3246419008
"Population, female",SP.POP.TOTL.FE.IN,IDA blend,IDB,230359556,235807878,241364771,247032207,252796507,258645274,264567010,270574126,276675894,282852973
"Population, female",SP.POP.TOTL.FE.IN,IDA only,IDX,465439194,475862668,486437905,497245743,508353763,519772871,531487448,543509398,555840733,568471612
"Population, female",SP.POP.TOTL.FE.IN,IDA total,IDA,695798750,711670546,727802676,744277950,761150270,778418145,796054458,814083524,832516627,851324585
"Population, female",SP.POP.TOTL.FE.IN,India,IND,599851346,607359892,614676458,621852998,628929060,635912563,642796257,649586703,656288184,662903415
"Population, female",SP.POP.TOTL.FE.IN,Indonesia,IDN,121616719,123270656,124949892,126618711,128250415,129835522,131378183,132882052,134355806,135805760
"Population, female",SP.POP.TOTL.FE.IN,"Iran, Islamic Rep.",IRN,37012837,37427003,37841907,38281566,38762065,39289457,39854902,40441309,41024003,41584547
"Population, female",SP.POP.TOTL.FE.IN,Iraq,IRQ,15204594,15778329,16401828,17018736,17588528,18097667,18558853,18989537,19417975,19864725
"Population, female",SP.POP.TOTL.FE.IN,Ireland,IRL,2306846,2319082,2333444,2352024,2374896,2401335,2426140,2454369,2486201,2515113
"Population, female",SP.POP.TOTL.FE.IN,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Israel,ISR,3927993,3998134,4069967,4145229,4224621,4304840,4385803,4467882,4550763,4629378
"Population, female",SP.POP.TOTL.FE.IN,Italy,ITA,30647051,30716752,31053693,31315785,31262660,31188515,31121471,31042688,30667514,30558291
"Population, female",SP.POP.TOTL.FE.IN,Jamaica,JAM,1420363,1428546,1437226,1445931,1454324,1462325,1470007,1477400,1484557,1491520
"Population, female",SP.POP.TOTL.FE.IN,Japan,JPN,65322325,65232461,65150796,65075452,65016722,64951468,64853783,64731350,64605360,64395674
"Population, female",SP.POP.TOTL.FE.IN,Jordan,JOR,3762256,3978958,4196092,4397998,4573163,4717553,4833068,4921841,4988482,5037161
"Population, female",SP.POP.TOTL.FE.IN,Kazakhstan,KAZ,8550670,8669275,8792736,8920772,9049058,9174836,9296108,9414472,9532235,9652308
"Population, female",SP.POP.TOTL.FE.IN,Kenya,KEN,21737158,22321708,22912189,23504483,24095730,24684280,25271004,25858696,26451585,27052773
"Population, female",SP.POP.TOTL.FE.IN,Kiribati,KIR,53218,54067,54867,55647,56436,57251,58066,58904,59786,60702
"Population, female",SP.POP.TOTL.FE.IN,"Korea, Dem. People's Rep.",PRK,12615979,12678990,12742849,12806616,12869582,12931820,12993548,13054278,13113396,13170436
"Population, female",SP.POP.TOTL.FE.IN,"Korea, Rep.",KOR,24917629,25048343,25160944,25318368,25452787,25556626,25632820,25760422,25817405,25858715
"Population, female",SP.POP.TOTL.FE.IN,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Kuwait,KWT,1335807,1408485,1476160,1534201,1579599,1610201,1627387,1636232,1644022,1656117
"Population, female",SP.POP.TOTL.FE.IN,Kyrgyz Republic,KGZ,2789416,2835593,2891331,2948851,3009509,3071223,3131308,3194586,3262337,3330985
"Population, female",SP.POP.TOTL.FE.IN,Lao PDR,LAO,3192854,3233528,3273473,3315124,3360147,3409178,3461499,3515875,3570428,3623762
"Population, female",SP.POP.TOTL.FE.IN,Late-demographic dividend,LTE,1085253072,1091763541,1098492980,1105357303,1112201775,1119260507,1126374222,1132605640,1138047762,1142902500
"Population, female",SP.POP.TOTL.FE.IN,Latin America & Caribbean,LCN,302444148,305833180,309199855,312518518,315783568,318990471,322134722,325196640,328271450,331289258
"Population, female",SP.POP.TOTL.FE.IN,Latin America & Caribbean (excluding high income),LAC,274306424,277375325,280442613,283537109,286674034,289868532,293101426,296313124,299420872,302366378
"Population, female",SP.POP.TOTL.FE.IN,Latin America & Caribbean (IDA & IBRD),TLA,294358376,297754837,301124813,304455817,307737675,310967324,314145237,317270579,320342271,323359375
"Population, female",SP.POP.TOTL.FE.IN,Latvia,LVA,1116580,1102797,1090922,1080377,1071036,1060500,1050132,1040870,1032613,1025139
"Population, female",SP.POP.TOTL.FE.IN,Least developed countries: UN classification,LDC,430293469,440669094,451292797,462142984,473201675,484467201,495939053,507600624,519431482,531415790
"Population, female",SP.POP.TOTL.FE.IN,Lebanon,LBN,2565380,2737182,2928916,3106446,3244861,3337135,3390062,3409524,3406463,3389696
"Population, female",SP.POP.TOTL.FE.IN,Lesotho,LSO,1027842,1031206,1035656,1041000,1047082,1053896,1061370,1069278,1077323,1085302
"Population, female",SP.POP.TOTL.FE.IN,Liberia,LBR,2005232,2063459,2118813,2173342,2228589,2284705,2341202,2398322,2456258,2515138
"Population, female",SP.POP.TOTL.FE.IN,Libya,LBY,3064110,3089182,3112114,3137853,3169825,3209343,3255123,3304807,3354834,3402550
"Population, female",SP.POP.TOTL.FE.IN,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Lithuania,LTU,1635290,1613861,1597355,1582988,1567189,1546111,1523077,1507005,1501699,1501199
"Population, female",SP.POP.TOTL.FE.IN,Low & middle income,LMY,2872560881,2910255995,2948473641,2987051420,3025909027,3065186260,3104692994,3143519412,3181612183,3219257641
"Population, female",SP.POP.TOTL.FE.IN,Low income,LIC,265176164,271997025,278882362,285934197,293229904,300783327,308581240,316639810,324971017,333577700
"Population, female",SP.POP.TOTL.FE.IN,Lower middle income,LMC,1434229983,1456355917,1478688265,1501071187,1523561385,1546086747,1568607139,1591113902,1613539076,1635881959
"Population, female",SP.POP.TOTL.FE.IN,Luxembourg,LUX,260360,266145,271788,277680,283726,289340,295911,301174,306733,312502
"Population, female",SP.POP.TOTL.FE.IN,"Macao SAR, China",MAC,286278,293154,300214,307020,313252,318789,323748,328312,332740,337242
"Population, female",SP.POP.TOTL.FE.IN,Madagascar,MDG,10911027,11211590,11517928,11831212,12152289,12481481,12818661,13163713,13516377,13876400
"Population, female",SP.POP.TOTL.FE.IN,Malawi,MWI,7598612,7817021,8039829,8266066,8495171,8726571,8960635,9198885,9443471,9695918
"Population, female",SP.POP.TOTL.FE.IN,Malaysia,MYS,13870044,14076071,14278481,14480879,14685798,14893934,15104343,15315852,15526625,15735185
"Population, female",SP.POP.TOTL.FE.IN,Maldives,MDV,170246,173599,177005,180346,183547,186567,189425,192177,194887,197614
"Population, female",SP.POP.TOTL.FE.IN,Mali,MLI,7762521,7993442,8227526,8468385,8718647,8979115,9249030,9527621,9813486,10105660
"Population, female",SP.POP.TOTL.FE.IN,Malta,MLT,209383,210896,213461,217382,222330,227271,233468,241701,251351,261869
"Population, female",SP.POP.TOTL.FE.IN,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Mauritania,MRT,1798640,1851740,1906310,1962065,2018756,2076282,2134662,2193847,2253855,2314679
"Population, female",SP.POP.TOTL.FE.IN,Mauritius,MUS,631620,633399,634864,636163,637251,638052,639078,639954,640695,641234
"Population, female",SP.POP.TOTL.FE.IN,Mexico,MEX,59086044,59898832,60701892,61491303,62264080,63018020,63752823,64469963,65172136,65861267
"Population, female",SP.POP.TOTL.FE.IN,"Micronesia, Fed. Sts.",FSM,50937,51446,52122,52855,53543,54189,54793,55368,55944,56541
"Population, female",SP.POP.TOTL.FE.IN,Middle East & North Africa,MEA,190470235,194243295,198030509,201801704,205536024,209205773,212814637,216428633,220102343,223874467
"Population, female",SP.POP.TOTL.FE.IN,Middle East & North Africa (excluding high income),MNA,168155595,171192451,174257251,177348465,180465698,183598106,186740403,189932241,193192029,196537067
"Population, female",SP.POP.TOTL.FE.IN,Middle East & North Africa (IDA & IBRD),TMN,166242635,169231781,172249084,175292766,178362335,181446771,184545542,187680703,190882896,194169576
"Population, female",SP.POP.TOTL.FE.IN,Middle income,MIC,2607384717,2638258970,2669591279,2701117223,2732679123,2764402933,2796111754,2826879602,2856641166,2885679941
"Population, female",SP.POP.TOTL.FE.IN,Moldova,MDA,1484449,1484136,1483913,1483413,1472334,1456244,1432683,1409234,1386811,1364089
"Population, female",SP.POP.TOTL.FE.IN,Monaco,MCO,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Mongolia,MNG,1397297,1425659,1455446,1485885,1516358,1546658,1576728,1606333,1635234,1663253
"Population, female",SP.POP.TOTL.FE.IN,Montenegro,MNE,313736,313920,314182,314468,314622,314666,314683,314592,314469,314292
"Population, female",SP.POP.TOTL.FE.IN,Morocco,MAR,16609017,16826156,17046813,17269399,17492569,17715791,17938664,18160047,18378703,18593671
"Population, female",SP.POP.TOTL.FE.IN,Mozambique,MOZ,12511359,12852030,13204033,13569528,13949963,14346169,14757711,15183127,15620192,16067200
"Population, female",SP.POP.TOTL.FE.IN,Myanmar,MMR,26410740,26632792,26860456,27081937,27289147,27478828,27654918,27825150,28000756,28189604
"Population, female",SP.POP.TOTL.FE.IN,Namibia,NAM,1114054,1133400,1153085,1173378,1194451,1216363,1238996,1262189,1285662,1309233
"Population, female",SP.POP.TOTL.FE.IN,Nauru,NRU,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Nepal,NPL,13877399,14044548,14221340,14411527,14617070,14839974,15077724,15322093,15561762,15788373
"Population, female",SP.POP.TOTL.FE.IN,Netherlands,NLD,8401899,8431597,8455043,8483667,8518825,8560955,8607750,8653884,8706652,8751402
"Population, female",SP.POP.TOTL.FE.IN,New Caledonia,NCL,126179,128449,130720,132886,133218,133590,133988,134408,134837,135263
"Population, female",SP.POP.TOTL.FE.IN,New Zealand,NZL,2230453,2241928,2258608,2295996,2342960,2396121,2446845,2491356,2531675,2585329
"Population, female",SP.POP.TOTL.FE.IN,Nicaragua,NIC,2995158,3035243,3075329,3115567,3156054,3196840,3237844,3278831,3319519,3359705
"Population, female",SP.POP.TOTL.FE.IN,Niger,NER,8556418,8890161,9237798,9598588,9972036,10358188,10757444,11170022,11596258,12036471
"Population, female",SP.POP.TOTL.FE.IN,Nigeria,NGA,80445630,82609445,84829345,87099897,89416890,91778862,94185842,96636957,99131729,101669950
"Population, female",SP.POP.TOTL.FE.IN,North America,NAC,174963503,176264967,177503656,178811262,180095091,181448935,182682461,183796416,184806690,185591988
"Population, female",SP.POP.TOTL.FE.IN,North Macedonia,MKD,1036475,1037099,1037709,1038327,1038935,1039568,1040211,1040780,1041153,1041249
"Population, female",SP.POP.TOTL.FE.IN,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Norway,NOR,2473069,2501872,2528608,2553889,2576388,2596542,2615346,2630707,2646723,2660602
"Population, female",SP.POP.TOTL.FE.IN,OECD members,OED,660859050,664888214,669078094,673446552,677759304,682126445,686184872,690048213,693344574,696269064
"Population, female",SP.POP.TOTL.FE.IN,Oman,OMN,1252026,1305847,1365279,1425908,1484395,1539787,1592566,1642702,1690544,1736392
"Population, female",SP.POP.TOTL.FE.IN,Other small states,OSS,12666421,12901346,13141161,13385287,13634104,13883518,14137436,14395696,14654784,14913110
"Population, female",SP.POP.TOTL.FE.IN,Pacific island small states,PSS,1055413,1068882,1082358,1096342,1111230,1127103,1143811,1161232,1179109,1197245
"Population, female",SP.POP.TOTL.FE.IN,Pakistan,PAK,88917077,90847991,92797250,94774652,96786262,98833941,100912342,103011525,105117736,107220324
"Population, female",SP.POP.TOTL.FE.IN,Palau,PLW,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Panama,PAN,1844847,1877451,1910409,1943936,1978158,2013130,2048694,2084482,2120006,2154888
"Population, female",SP.POP.TOTL.FE.IN,Papua New Guinea,PNG,3668765,3745032,3820350,3896120,3973383,4052305,4132522,4213891,4296108,4378955
"Population, female",SP.POP.TOTL.FE.IN,Paraguay,PRY,3111467,3153912,3197206,3241014,3285105,3329476,3374176,3419020,3463751,3508170
"Population, female",SP.POP.TOTL.FE.IN,Peru,PER,14681706,14816488,14965316,15137234,15337374,15570375,15831044,16102678,16362221,16593240
"Population, female",SP.POP.TOTL.FE.IN,Philippines,PHL,47365188,48198297,49051547,49899689,50724446,51520471,52293623,53050171,53800550,54552260
"Population, female",SP.POP.TOTL.FE.IN,Poland,POL,19654134,19644188,19620509,19595127,19574714,19563116,19565914,19568657,19567280,19562432
"Population, female",SP.POP.TOTL.FE.IN,Portugal,PRT,5517359,5507126,5488215,5468262,5452971,5440467,5429333,5420804,5421171,5430030
